arquivo;operacao;horario_comeco;horario_fim;tempo_ms;resultado
./images/AllHalfValues.exr;open_edit_save;2025-11-23_20:14:16.531;2025-11-23_20:14:17.973;1441;SUCESSO
./images/BrightRings.exr;open_edit_save;2025-11-23_20:14:17.977;2025-11-23_20:14:19.508;1531;SUCESSO
./images/BrightRingsNanInf.exr;open_edit_save;2025-11-23_20:14:19.512;2025-11-23_20:14:21.030;1518;SUCESSO
./images/CrissyField.exr;open_edit_save;2025-11-23_20:14:21.033;2025-11-23_20:14:22.048;1015;SUCESSO
./images/Flowers.exr;open_edit_save;2025-11-23_20:14:22.051;2025-11-23_20:14:23.075;1024;SUCESSO
./images/GammaChart.exr;open_edit_save;2025-11-23_20:14:23.078;2025-11-23_20:14:24.542;1465;SUCESSO
./images/Garden.exr;open_edit_save;2025-11-23_20:14:24.545;2025-11-23_20:14:25.962;1417;SUCESSO
./images/GoldenGate.exr;open_edit_save;2025-11-23_20:14:25.965;2025-11-23_20:14:27.737;1772;SUCESSO
./images/GrayRampsDiagonal.exr;open_edit_save;2025-11-23_20:14:27.740;2025-11-23_20:14:29.173;1433;SUCESSO
./images/GrayRampsHorizontal.exr;open_edit_save;2025-11-23_20:14:29.176;2025-11-23_20:14:30.614;1438;SUCESSO
./images/MtTamNorth.exr;open_edit_save;2025-11-23_20:14:30.617;2025-11-23_20:14:31.638;1021;SUCESSO
./images/Ocean.exr;open_edit_save;2025-11-23_20:14:31.641;2025-11-23_20:14:33.470;1829;SUCESSO
./images/RgbRampsDiagonal.exr;open_edit_save;2025-11-23_20:14:33.473;2025-11-23_20:14:34.949;1476;SUCESSO
./images/Spirals.exr;open_edit_save;2025-11-23_20:14:34.952;2025-11-23_20:14:36.846;1894;SUCESSO
./images/SquaresSwirls.exr;open_edit_save;2025-11-23_20:14:36.849;2025-11-23_20:14:38.423;1574;SUCESSO
./images/StarField.exr;open_edit_save;2025-11-23_20:14:38.426;2025-11-23_20:14:39.448;1022;SUCESSO
./images/WideColorGamut.exr;open_edit_save;2025-11-23_20:14:39.451;2025-11-23_20:14:40.949;1498;SUCESSO
./images/WideFloatRange.exr;open_edit_save;2025-11-23_20:14:40.952;2025-11-23_20:14:42.340;1388;SUCESSO
