Ciclo;Operacao;Status;Tempo_ms
1;INSTALACAO;SUCESSO;3
1;DESINSTALACAO;SUCESSO;3
2;INSTALACAO;SUCESSO;4
2;DESINSTALACAO;SUCESSO;3
3;INSTALACAO;SUCESSO;3
3;DESINSTALACAO;SUCESSO;3
4;INSTALACAO;SUCESSO;3
4;DESINSTALACAO;SUCESSO;2
5;INSTALACAO;SUCESSO;3
5;DESINSTALACAO;SUCESSO;2
6;INSTALACAO;SUCESSO;3
6;DESINSTALACAO;SUCESSO;2
7;INSTALACAO;SUCESSO;5
7;DESINSTALACAO;SUCESSO;6
8;INSTALACAO;SUCESSO;4
8;DESINSTALACAO;SUCESSO;5
9;INSTALACAO;SUCESSO;4
9;DESINSTALACAO;SUCESSO;2
10;INSTALACAO;SUCESSO;4
10;DESINSTALACAO;SUCESSO;2
